0000.020|RX|UserTorque(Nm)|Velocity(rad)|Position(mm)|Position(rad)|Roller|Cell1|Cell2|TX|CmdTorque|EccOverload|EasyStart|Inertia|Friction|Vel_H|Vel_L|ViscoConc|ViscoEcc
0000.829|RX|4,66|-0,47|326,28|3,99|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0000.850|RX|4,35|-0,47|327,04|4,00|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0000.869|RX|4,11|-0,46|327,79|4,01|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0000.889|RX|3,98|-0,45|328,55|4,02|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0000.910|RX|4,10|-0,44|329,30|4,03|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0000.929|RX|4,29|-0,44|330,01|4,04|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0000.950|RX|4,43|-0,44|330,71|4,05|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0000.970|RX|4,59|-0,44|331,41|4,05|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0000.990|RX|4,64|-0,44|332,11|4,06|11|0,06|0,07|TX|16,61|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.009|RX|4,58|-0,43|332,79|4,07|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.030|RX|4,36|-0,44|333,46|4,08|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.049|RX|4,25|-0,44|334,14|4,09|11|0,06|0,07|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.069|RX|4,13|-0,42|334,83|4,10|11|0,06|0,07|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.089|RX|4,19|-0,42|335,51|4,10|11|0,06|0,07|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.109|RX|4,26|-0,41|336,17|4,11|11|0,06|0,07|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.129|RX|4,32|-0,40|336,83|4,12|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.149|RX|4,42|-0,39|337,48|4,13|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.170|RX|4,48|-0,38|338,14|4,14|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.192|RX|4,71|-0,38|338,77|4,14|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.211|RX|4,86|-0,38|339,38|4,15|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.230|RX|4,86|-0,38|339,99|4,16|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.250|RX|4,58|-0,37|340,60|4,17|11|0,06|0,06|TX|16,69|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.270|RX|4,07|-0,37|341,20|4,17|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
0001.290|RX|3,75|-0,37|341,78|4,18|11|0,06|0,06|TX|16,77|0,00|4,89|0,70|0,29|20,00|-20,00|0,00|-0,00
